ID,Movie,Year,Time,Rating,Metascore,Profit,Description
410,Akira,1988,124,8,67,550000,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
405,Aladdin,1992,90,8,86,217350000,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
54,Alien,1979,117,8.5,89,78900000,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
83,Aliens,1986,137,8.4,84,85160000,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
200,All About Eve,1950,138,8.2,98,10000,A seemingly timid but secretly ruthless ing??nue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
672,All About My Mother,1999,101,7.8,87,8260000,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela."
333,All Quiet on the Western Front,1930,152,8.1,91,3270000,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
705,All That Jazz,1979,123,7.8,72,37820000,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
552,All the Presidents Men,1976,138,7.9,84,70600000,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
523,Almost Famous,2000,122,7.9,90,32530000,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.
108,Am??lie,2001,122,8.3,69,33230000,"Am??lie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
84,Amadeus,1984,160,8.4,88,51970000,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
79,American Beauty,1999,122,8.4,84,130100000,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
